"Tiempo","Frecuencia (Hz)","ESTACION","CANAL","Level (dBµV/m)","Bandwidth (Hz)","Offset (Hz)","AM (%)","Arch_ Info"
"15/07/2025  17:40:57,656","   549250000"," ","27","  28,7","      999375","        2568"," 94,70",
"15/07/2025  17:40:57,656","   555250000"," ","28","  40,7","      999375","        2884"," 94,50",
"15/07/2025  17:40:57,656","   561250000"," ","29","  39,6","      999375","        -262"," 95,40",
"15/07/2025  17:40:57,656","   567250000","TELEATAHUALPA (RTU)","30","  40,3","      999375","      -11517"," 95,20",
"15/07/2025  17:40:57,656","   573250000"," ","31","  37,1","      999375","      -10525"," 93,10",
"15/07/2025  17:40:57,656","   579250000","TELEVICENTRO TVC","32","  81,4","      125625","        1001"," 46,20",
"15/07/2025  17:40:57,656","   585250000"," ","33","  34,4","      999375","       -2785"," 97,60",
"15/07/2025  17:40:57,656","   591250000","UCSG TELEVISION","34","  30,5","      999375","        3787"," 95,70",
"15/07/2025  17:40:57,656","   603250000","OROMAR","36","  33,3","      999375","        1695"," 95,60",
"15/07/2025  17:40:57,656","   615250000"," ","38","  33,0","      999375","         880"," 90,40",
"15/07/2025  17:40:57,656","   621250000","CANAL SUR - TELEVISION MUN","39","  69,2","      141250","          48"," 33,20",
"15/07/2025  17:40:57,656","   627250000"," ","40","  34,0","      999375","        6032"," 96,90",
"15/07/2025  17:40:57,656","   633250000"," ","41","  32,9","      999375","        1698"," 94,70",
"15/07/2025  17:40:57,656","   639250000"," ","42","  39,9","      999375","       84469"," 89,40",
"15/07/2025  17:40:57,656","   645250000"," ","43","  35,7","      999375","        1989"," 96,20",
"15/07/2025  17:40:57,656","   651250000"," ","44","  36,6","      999375","        2589"," 95,70",
"15/07/2025  17:40:57,656","   657250000"," ","45","  37,0","      999375","        -156"," 96,00",
"15/07/2025  17:40:57,656","   663250000"," ","46","  36,8","      999375","        6720"," 93,90",
"15/07/2025  17:40:57,656","   669250000"," ","47","  38,4","      999375","        5878"," 96,00",
"15/07/2025  17:40:57,656","   675250000"," ","48","  38,9","      999375","        6145"," 95,30",
"15/07/2025  17:40:57,656","   681250000"," ","49","  45,9","      999375","      112226"," 91,90",
"15/07/2025  17:40:57,656","   687250000"," ","50","  48,2","      999375","        1356"," 97,00",
"15/07/2025  17:40:57,656","   693250000"," ","51","  52,4","      999375","        3178"," 98,50",
"15/07/2025  17:41:49,095","    55250000","CORPORACION ECUATORIANA DE","2","  91,9","      220000","          -8"," 51,10",
"15/07/2025  17:41:49,095","    61250000"," ","3","  40,3","      999375","      -22372"," 96,70",
"15/07/2025  17:41:49,095","    67250000","UV TELEVISION","4","  91,4","      157500","         202"," 76,50",
"15/07/2025  17:41:49,095","    77250000","TELEAMAZONAS","5","  80,3","       94375","          18"," 39,00",
"15/07/2025  17:41:49,095","    83250000"," ","6","  61,1","      999375","      -40909"," 94,90",
"15/07/2025  17:41:49,095","   175250000","ECUADOR TV","7","  94,2","      141250","        -144"," 96,90",
"15/07/2025  17:41:49,095","   181250000","CADENA ECUATORIANA DE TELE","8","  81,2","      496875","        -296"," 92,80",
"15/07/2025  17:41:49,095","   187250000","RED TELESISTEMA (R.T.S)","9","  90,0","      110000","        -735"," 46,90",
"15/07/2025  17:41:49,095","   193250000"," ","10","  68,0","      916250","      112167"," 96,60",
"15/07/2025  17:41:49,095","   199250000","TELEVISION DEL PACIFICO","11","  70,4","      999375","      116413"," 95,80",
"15/07/2025  17:41:49,095","   205250000"," ","12","  65,6","      918125","       95807"," 95,80",
"15/07/2025  17:41:49,095","   211250000"," ","13","  60,2","      999375","       88218"," 94,30",
"15/07/2025  17:41:49,095","   471250000"," ","14","  24,1","      999375","       -3360"," 92,80",
"15/07/2025  17:41:49,095","   477250000"," ","15","  29,9","      999375","      -92263"," 94,20",
"15/07/2025  17:41:49,095","   483250000"," ","16","  25,6","      999375","        2032"," 96,50",
"15/07/2025  17:41:49,095","   513250000"," ","21","  26,2","      999375","      -14724"," 95,50",
"15/07/2025  17:41:49,095","   519250000","ECOTEL","22","  83,7","       63125","        1134"," 45,80",
"15/07/2025  17:41:49,095","   525250000"," ","23","  29,7","      999375","      -25916"," 92,60",
"15/07/2025  17:41:49,095","   531250000","TELERAMA","24","  29,3","      999375","       -4505"," 95,90",
"15/07/2025  17:41:49,095","   537250000","PLUS TV","25","  69,5","       31875","        3649"," 33,00",
"15/07/2025  17:41:49,095","   543250000","CANAL UNO","26","  29,0","      999375","       16280"," 97,30",
"15/07/2025  17:41:49,095","   549250000"," ","27","  27,1","      999375","        4067"," 94,90",
"15/07/2025  17:41:49,095","   555250000"," ","28","  40,3","      999375","          -5"," 95,70",
"15/07/2025  17:41:49,095","   561250000"," ","29","  40,3","      999375","       -4187"," 95,30",
"15/07/2025  17:41:49,095","   567250000","TELEATAHUALPA (RTU)","30","  40,5","      999375","       -9082"," 93,80",
"15/07/2025  17:41:49,095","   573250000"," ","31","  36,0","      999375","       -1438"," 95,00",
"15/07/2025  17:41:49,095","   579250000","TELEVICENTRO TVC","32","  80,1","      125625","        1004"," 49,20",
"15/07/2025  17:41:49,095","   585250000"," ","33","  35,6","      999375","        3141"," 95,90",
"15/07/2025  17:41:49,095","   591250000","UCSG TELEVISION","34","  31,9","      999375","        1211"," 96,30",
"15/07/2025  17:41:49,095","   603250000","OROMAR","36","  32,2","      999375","        5404"," 96,80",
"15/07/2025  17:41:49,095","   615250000"," ","38","  34,7","      999375","        5132"," 94,80",
"15/07/2025  17:41:49,095","   621250000","CANAL SUR - TELEVISION MUN","39","  70,7","      141250","          49"," 41,10",
"15/07/2025  17:41:49,095","   627250000"," ","40","  32,7","      999375","        4874"," 95,60",
"15/07/2025  17:41:49,095","   633250000"," ","41","  33,5","      999375","        4884"," 96,90",
"15/07/2025  17:41:49,095","   639250000"," ","42","  38,5","      999375","       90208"," 83,90",
"15/07/2025  17:41:49,095","   645250000"," ","43","  35,2","      999375","        1009"," 95,20",
"15/07/2025  17:41:49,095","   651250000"," ","44","  36,8","      999375","        1112"," 96,10",
"15/07/2025  17:41:49,095","   657250000"," ","45","  36,2","      999375","          -2"," 95,30",
"15/07/2025  17:41:49,095","   663250000"," ","46","  36,6","      999375","        -887"," 93,80",
"15/07/2025  17:41:49,095","   669250000"," ","47","  38,0","      999375","        7519"," 94,70",
"15/07/2025  17:41:49,095","   675250000"," ","48","  39,8","      999375","        2307"," 96,40",
"15/07/2025  17:41:49,095","   681250000"," ","49","  47,6","      999375","       87759"," 82,80",
"15/07/2025  17:41:49,095","   687250000"," ","50","  48,4","      999375","         460"," 96,80",
"15/07/2025  17:41:49,095","   693250000"," ","51","  53,7","      999375","       -3018"," 95,30",
"16/07/2025  7:20:03,872","    55250000","CORPORACION ECUATORIANA DE","2","  92,1","      125625","         -17"," 50,10",
"16/07/2025  7:20:03,872","    61250000"," ","3","  44,5","      999375","         150"," 92,80",
"16/07/2025  7:20:03,872","    67250000","UV TELEVISION","4","  93,9","      157500","         203"," 57,30",
"16/07/2025  7:20:03,872","    77250000","TELEAMAZONAS","5","  90,5","       63125","          10"," 35,60",
"16/07/2025  7:20:03,872","    83250000"," ","6","  64,1","      999375","      -56990"," 94,90",
"16/07/2025  7:20:03,872","   175250000","ECUADOR TV","7","  95,1","      188125","         -16"," 86,40",
"16/07/2025  7:20:03,872","   181250000","CADENA ECUATORIANA DE TELE","8","  80,3","      833750","         112"," 75,30",
"16/07/2025  7:20:03,872","   187250000","RED TELESISTEMA (R.T.S)","9","  89,4","      125625","        -186"," 51,70",
"16/07/2025  7:20:03,872","   193250000"," ","10","  69,9","      999375","       96494"," 96,40",
"16/07/2025  7:20:03,872","   199250000","TELEVISION DEL PACIFICO","11","  67,2","      916875","      124741"," 92,10",
"16/07/2025  7:20:03,872","   205250000"," ","12","  62,6","      864375","      125632"," 95,60",
"16/07/2025  7:20:03,872","   211250000"," ","13","  56,9","      852500","      132078"," 93,30",
"16/07/2025  7:20:03,872","   471250000"," ","14","  24,4","      999375","        5933"," 97,10",
"16/07/2025  7:20:03,872","   477250000"," ","15","  30,4","      999375","      -86266"," 91,10",
"16/07/2025  7:20:03,872","   483250000"," ","16","  24,0","      999375","        1348"," 96,00",
"16/07/2025  7:20:03,872","   513250000"," ","21","  28,9","      999375","      -10725"," 93,40",
"16/07/2025  7:20:03,872","   519250000","ECOTEL","22","  83,7","      126250","        1045"," 75,10",
"16/07/2025  7:20:03,872","   525250000"," ","23","  29,9","      999375","      -29883"," 96,50",
"16/07/2025  7:20:03,872","   531250000","TELERAMA","24","  27,0","      999375","        4341"," 94,70",
"16/07/2025  7:20:03,872","   537250000","PLUS TV","25","  70,4","       78125","        4538"," 35,50",
"16/07/2025  7:20:03,872","   543250000","CANAL UNO","26","  30,6","      999375","        8856"," 96,10",
"16/07/2025  7:20:03,872","   549250000"," ","27","  29,0","      999375","        2229"," 95,60",
"16/07/2025  7:20:03,872","   555250000"," ","28","  41,4","      999375","        1221"," 93,50",
"16/07/2025  7:20:03,872","   561250000"," ","29","  39,4","      999375","        -236"," 94,50",
"16/07/2025  7:20:03,872","   567250000","TELEATAHUALPA (RTU)","30","  42,8","      999375","      -11596"," 97,10",
"16/07/2025  7:20:03,872","   573250000"," ","31","  37,0","      999375","       -2539"," 96,90",
"16/07/2025  7:20:03,872","   579250000","TELEVICENTRO TVC","32","  81,3","      188750","        1427"," 28,50",
"16/07/2025  7:20:03,872","   585250000"," ","33","  37,8","      999375","        1387"," 97,10",
"16/07/2025  7:20:03,872","   591250000","UCSG TELEVISION","34","  31,5","      999375","        -822"," 95,10",
"16/07/2025  7:20:03,872","   603250000","OROMAR","36","  31,7","      999375","       -3196"," 93,40",
"16/07/2025  7:20:03,872","   615250000"," ","38","  33,8","      999375","         690"," 96,10",
"16/07/2025  7:20:03,872","   621250000","CANAL SUR - TELEVISION MUN","39","  70,5","      282500","        -692"," 95,50",
"16/07/2025  7:20:03,872","   627250000"," ","40","  34,9","      999375","       -3135"," 97,20",
"16/07/2025  7:20:03,872","   633250000"," ","41","  36,1","      999375","        -622"," 96,60",
"16/07/2025  7:20:03,872","   639250000"," ","42","  37,9","      999375","       74927"," 93,30",
"16/07/2025  7:20:03,872","   645250000"," ","43","  34,6","      999375","        -405"," 93,40",
"16/07/2025  7:20:03,872","   651250000"," ","44","  36,9","      999375","        2334"," 95,80",
"16/07/2025  7:20:03,872","   657250000"," ","45","  36,9","      999375","         334"," 94,50",
"16/07/2025  7:20:03,872","   663250000"," ","46","  37,8","      999375","        -568"," 93,90",
"16/07/2025  7:20:03,872","   669250000"," ","47","  37,4","      999375","        6850"," 92,20",
"16/07/2025  7:20:03,872","   675250000"," ","48","  39,6","      999375","        3189"," 96,60",
"16/07/2025  7:20:03,872","   681250000"," ","49","  47,0","      999375","      100310"," 66,80",
"16/07/2025  7:20:03,872","   687250000"," ","50","  46,8","      999375","        6616"," 95,00",
"16/07/2025  7:20:03,872","   693250000"," ","51","  52,4","      999375","       -2550"," 96,70",
"16/07/2025  7:20:57,665","    55250000","CORPORACION ECUATORIANA DE","2","  92,0","      125625","           2"," 90,90",
"16/07/2025  7:20:57,665","    61250000"," ","3","  42,6","      999375","        3544"," 95,80",
"16/07/2025  7:20:57,665","    67250000","UV TELEVISION","4","  93,6","      141250","         184"," 80,60",
"16/07/2025  7:20:57,665","    77250000","TELEAMAZONAS","5","  89,3","       94375","          11"," 27,20",
"16/07/2025  7:20:57,665","    83250000"," ","6","  63,7","      999375","      -39421"," 95,90",
"16/07/2025  7:20:57,665","   175250000","ECUADOR TV","7","  95,3","      156875","         -17"," 94,40",
"16/07/2025  7:20:57,665","   181250000","CADENA ECUATORIANA DE TELE","8","  80,1","      843750","       11885"," 96,00",
"16/07/2025  7:20:57,665","   187250000","RED TELESISTEMA (R.T.S)","9","  89,3","      125625","        -347"," 76,40",
"16/07/2025  7:20:57,665","   193250000"," ","10","  72,8","      997500","      112674"," 93,20",
"16/07/2025  7:20:57,665","   199250000","TELEVISION DEL PACIFICO","11","  69,9","      990625","      123947"," 94,50",
"16/07/2025  7:20:57,665","   205250000"," ","12","  63,0","      876875","      124066"," 93,30",
"16/07/2025  7:20:57,665","   211250000"," ","13","  58,2","      847500","      127158"," 87,70",
"16/07/2025  7:20:57,665","   471250000"," ","14","  23,2","      999375","       -2147"," 94,10",
"16/07/2025  7:20:57,665","   477250000"," ","15","  31,9","      999375","      -96792"," 95,50",
"16/07/2025  7:20:57,665","   483250000"," ","16","  26,3","      999375","        4006"," 97,30",
"16/07/2025  7:20:57,665","   513250000"," ","21","  27,7","      999375","      -13851"," 95,90",
"16/07/2025  7:20:57,665","   519250000","ECOTEL","22","  83,1","      126250","        1065"," 74,50",
"16/07/2025  7:20:57,665","   525250000"," ","23","  30,8","      999375","      -24923"," 95,60",
"16/07/2025  7:20:57,665","   531250000","TELERAMA","24","  29,7","      999375","        6272"," 96,90",
"16/07/2025  7:20:57,665","   537250000","PLUS TV","25","  70,9","       93750","        4536"," 36,30",
"16/07/2025  7:20:57,665","   543250000","CANAL UNO","26","  28,7","      999375","        9829"," 94,80",
"16/07/2025  7:20:57,665","   549250000"," ","27","  28,1","      999375","        5578"," 95,80",
"16/07/2025  7:20:57,665","   555250000"," ","28","  41,5","      999375","        7292"," 94,80",
"16/07/2025  7:20:57,665","   561250000"," ","29","  41,5","      999375","        1054"," 95,60",
"16/07/2025  7:20:57,665","   567250000","TELEATAHUALPA (RTU)","30","  41,7","      999375","       -4608"," 93,60",
"16/07/2025  7:20:57,665","   573250000"," ","31","  36,7","      999375","       -7204"," 93,40",
"16/07/2025  7:20:57,665","   579250000","TELEVICENTRO TVC","32","  80,8","      126250","        1424"," 67,90",
"16/07/2025  7:20:57,665","   585250000"," ","33","  35,9","      999375","        3639"," 97,00",
"16/07/2025  7:20:57,665","   591250000","UCSG TELEVISION","34","  29,8","      999375","        1436"," 96,20",
"16/07/2025  7:20:57,665","   603250000","OROMAR","36","  33,6","      999375","        6668"," 94,70",
"16/07/2025  7:20:57,665","   615250000"," ","38","  35,8","      999375","        3431"," 97,00",
"16/07/2025  7:20:57,665","   621250000","CANAL SUR - TELEVISION MUN","39","  72,7","      204375","          30"," 89,10",
"16/07/2025  7:20:57,665","   627250000"," ","40","  33,8","      999375","        8928"," 96,80",
"16/07/2025  7:20:57,665","   633250000"," ","41","  34,3","      999375","        5089"," 96,20",
"16/07/2025  7:20:57,665","   639250000"," ","42","  38,0","      999375","       93370"," 92,80",
"16/07/2025  7:20:57,665","   645250000"," ","43","  35,4","      999375","        -978"," 95,90",
"16/07/2025  7:20:57,665","   651250000"," ","44","  36,8","      999375","        3824"," 96,10",
"16/07/2025  7:20:57,665","   657250000"," ","45","  37,4","      999375","        1091"," 97,20",
"16/07/2025  7:20:57,665","   663250000"," ","46","  37,7","      999375","        2136"," 97,20",
"16/07/2025  7:20:57,665","   669250000"," ","47","  38,4","      999375","        8065"," 96,00",
"16/07/2025  7:20:57,665","   675250000"," ","48","  40,0","      999375","        2452"," 95,90",
"16/07/2025  7:20:57,665","   681250000"," ","49","  47,0","      999375","      101715"," 55,60",
"16/07/2025  7:20:57,665","   687250000"," ","50","  47,9","      999375","        3210"," 94,90",
"16/07/2025  7:20:57,665","   693250000"," ","51","  58,8","      999375","         880"," 97,00",
"16/07/2025  7:21:49,123","    55250000","CORPORACION ECUATORIANA DE","2","  91,9","      125625","         -11"," 68,60",
"16/07/2025  7:21:49,123","    61250000"," ","3","  41,7","      999375","      -25188"," 97,70",
"16/07/2025  7:21:49,123","    67250000","UV TELEVISION","4","  93,9","      141250","         182"," 73,60",
"16/07/2025  7:21:49,123","    77250000","TELEAMAZONAS","5","  88,5","      141250","          14"," 58,80",
"16/07/2025  7:21:49,123","    83250000"," ","6","  63,3","      999375","      -13255"," 96,60",
"16/07/2025  7:21:49,123","   175250000","ECUADOR TV","7","  95,1","      141250","         -18"," 88,30",
"16/07/2025  7:21:49,123","   181250000","CADENA ECUATORIANA DE TELE","8","  79,9","      914375","       85624"," 95,70",
"16/07/2025  7:21:49,123","   187250000","RED TELESISTEMA (R.T.S)","9","  89,5","      188125","        -158"," 68,70",
"16/07/2025  7:21:49,123","   193250000"," ","10","  71,9","      871250","      116445"," 93,90",
"16/07/2025  7:21:49,123","   199250000","TELEVISION DEL PACIFICO","11","  70,2","      997500","      121213"," 96,20",
"16/07/2025  7:21:49,123","   205250000"," ","12","  62,7","      868125","      130554"," 96,30",
"16/07/2025  7:21:49,123","   211250000"," ","13","  59,8","      851250","      134452"," 95,30",
"16/07/2025  7:21:49,123","   471250000"," ","14","  27,0","      999375","        6684"," 94,90",
"16/07/2025  7:21:49,123","   477250000"," ","15","  32,2","      999375","      -75882"," 95,50",
"16/07/2025  7:21:49,123","   483250000"," ","16","  24,7","      999375","       -2870"," 94,70",
"16/07/2025  7:21:49,123","   513250000"," ","21","  26,4","      999375","      -14872"," 96,80",
"16/07/2025  7:21:49,123","   519250000","ECOTEL","22","  83,6","      125625","        1051"," 60,00",
"16/07/2025  7:21:49,123","   525250000"," ","23","  31,1","      999375","      -23304"," 91,40",
"16/07/2025  7:21:49,123","   531250000","TELERAMA","24","  28,0","      999375","       -3191"," 95,10",
"16/07/2025  7:21:49,123","   537250000","PLUS TV","25","  70,7","       93750","        4535"," 43,70",
"16/07/2025  7:21:49,123","   543250000","CANAL UNO","26","  30,0","      999375","        7435"," 91,60",
"16/07/2025  7:21:49,123","   549250000"," ","27","  28,4","      999375","         334"," 93,00",
"16/07/2025  7:21:49,123","   555250000"," ","28","  45,3","      999375","        1604"," 95,00",
"16/07/2025  7:21:49,123","   561250000"," ","29","  41,8","      999375","       -6728"," 94,70",
"16/07/2025  7:21:49,123","   567250000","TELEATAHUALPA (RTU)","30","  41,2","      999375","       -8852"," 93,60",
"16/07/2025  7:21:49,123","   573250000"," ","31","  37,9","      999375","       -4794"," 97,10",
"16/07/2025  7:21:49,123","   579250000","TELEVICENTRO TVC","32","  81,3","      156875","        1424"," 69,30",
"16/07/2025  7:21:49,123","   585250000"," ","33","  40,8","      999375","        8469"," 97,90",
"16/07/2025  7:21:49,123","   591250000","UCSG TELEVISION","34","  33,0","      999375","        2329"," 96,50",
"16/07/2025  7:21:49,123","   603250000","OROMAR","36","  32,2","      999375","        3450"," 97,20",
"16/07/2025  7:21:49,123","   615250000"," ","38","  34,8","      999375","        6271"," 93,60",
"16/07/2025  7:21:49,123","   621250000","CANAL SUR - TELEVISION MUN","39","  69,0","      487500","          59"," 85,70",
"16/07/2025  7:21:49,123","   627250000"," ","40","  34,0","      999375","        3282"," 94,50",
"16/07/2025  7:21:49,123","   633250000"," ","41","  33,5","      999375","       -1656"," 96,90",
"16/07/2025  7:21:49,123","   639250000"," ","42","  37,4","      999375","       81584"," 90,20",
"16/07/2025  7:21:49,123","   645250000"," ","43","  35,7","      999375","        1845"," 95,70",
"16/07/2025  7:21:49,123","   651250000"," ","44","  37,6","      999375","        2899"," 96,10",
"16/07/2025  7:21:49,123","   657250000"," ","45","  37,8","      999375","        -135"," 95,70",
"16/07/2025  7:21:49,123","   663250000"," ","46","  36,8","      999375","       -1978"," 92,10",
"16/07/2025  7:21:49,123","   669250000"," ","47","  38,4","      999375","        6424"," 93,70",
"16/07/2025  7:21:49,123","   675250000"," ","48","  39,2","      999375","        1134"," 94,80",
"16/07/2025  7:21:49,123","   681250000"," ","49","  47,2","      999375","       94629"," 90,80",
"16/07/2025  7:21:49,123","   687250000"," ","50","  49,1","      999375","         607"," 97,00",
"16/07/2025  7:21:49,123","   693250000"," ","51","  53,1","      999375","       -2085"," 95,60",
"16/07/2025  17:40:03,880","    55250000","CORPORACION ECUATORIANA DE","2","  92,4","      188125","          37"," 66,40",
"16/07/2025  17:40:03,880","    61250000"," ","3","  40,9","      999375","      -18921"," 93,40",
"16/07/2025  17:40:03,880","    67250000","UV TELEVISION","4","  95,0","      235625","         216"," 34,20",
"16/07/2025  17:40:03,880","    77250000","TELEAMAZONAS","5","  82,7","       63125","          12"," 33,40",
"16/07/2025  17:40:03,880","    83250000"," ","6","  68,7","      999375","      -25344"," 96,70",
"16/07/2025  17:40:03,880","   175250000","ECUADOR TV","7","  95,1","      141875","         -17"," 74,30",
"16/07/2025  17:40:03,880","   181250000","CADENA ECUATORIANA DE TELE","8","  83,8","      868125","        9027"," 93,80",
"16/07/2025  17:40:03,880","   187250000","RED TELESISTEMA (R.T.S)","9","  89,4","      156250","        -481"," 37,90",
"16/07/2025  17:40:03,880","   193250000"," ","10","  73,6","      921250","       87944"," 93,60",
"16/07/2025  17:40:03,880","   199250000","TELEVISION DEL PACIFICO","11","  73,7","      998125","      112447"," 95,40",
"16/07/2025  17:40:03,880","   205250000"," ","12","  64,1","      999375","      121573"," 95,00",
"16/07/2025  17:40:03,880","   211250000"," ","13","  62,6","      847500","      129551"," 92,80",
"16/07/2025  17:40:03,880","   471250000"," ","14","  28,5","      999375","         861"," 96,70",
"16/07/2025  17:40:03,880","   477250000"," ","15","  31,2","      999375","     -109927"," 91,70",
"16/07/2025  17:40:03,880","   483250000"," ","16","  28,6","      999375","      -44723"," 95,70",
"16/07/2025  17:40:03,880","   513250000"," ","21","  28,1","      999375","      -17433"," 95,40",
"16/07/2025  17:40:03,880","   519250000","ECOTEL","22","  83,7","       62500","        1122"," 34,50",
"16/07/2025  17:40:03,880","   525250000"," ","23","  29,8","      610625","      -10149"," 95,10",
"16/07/2025  17:40:03,880","   531250000","TELERAMA","24","  27,4","      999375","        5193"," 93,80",
"16/07/2025  17:40:03,880","   537250000","PLUS TV","25","  72,0","       62500","        4024"," 45,60",
"16/07/2025  17:40:03,880","   543250000","CANAL UNO","26","  31,3","      999375","        4219"," 97,30",
"16/07/2025  17:40:03,880","   549250000"," ","27","  29,0","      999375","        4783"," 95,00",
"16/07/2025  17:40:03,880","   555250000"," ","28","  43,8","      999375","        3645"," 97,10",
"16/07/2025  17:40:03,880","   561250000"," ","29","  43,5","      999375","       -1629"," 96,80",
"16/07/2025  17:40:03,880","   567250000","TELEATAHUALPA (RTU)","30","  40,8","      999375","       -9445"," 96,30",
"16/07/2025  17:40:03,880","   573250000"," ","31","  37,0","      999375","       -2315"," 96,60",
"16/07/2025  17:40:03,880","   579250000","TELEVICENTRO TVC","32","  81,8","      125625","        1067"," 58,60",
"16/07/2025  17:40:03,880","   585250000"," ","33","  36,9","      999375","        -703"," 97,40",
"16/07/2025  17:40:03,880","   591250000","UCSG TELEVISION","34","  33,5","      999375","        3507"," 96,10",
"16/07/2025  17:40:03,880","   603250000","OROMAR","36","  32,7","      999375","        1133"," 94,10",
"16/07/2025  17:40:03,880","   615250000"," ","38","  40,8","      999375","       93750"," 78,80",
"16/07/2025  17:40:03,880","   621250000","CANAL SUR - TELEVISION MUN","39","  71,7","      156875","          56"," 78,60",
"16/07/2025  17:40:03,880","   627250000"," ","40","  32,9","      999375","        5190"," 94,60",
"16/07/2025  17:40:03,880","   633250000"," ","41","  34,5","      999375","       32397"," 94,00",
"16/07/2025  17:40:03,880","   639250000"," ","42","  38,1","      999375","       93989"," 90,90",
"16/07/2025  17:40:03,880","   645250000"," ","43","  35,6","      999375","        4908"," 95,40",
"16/07/2025  17:40:03,880","   651250000"," ","44","  36,6","      999375","        4218"," 95,30",
"16/07/2025  17:40:03,880","   657250000"," ","45","  38,2","      999375","        6622"," 95,00",
"16/07/2025  17:40:03,880","   663250000"," ","46","  38,2","      999375","        1205"," 94,80",
"16/07/2025  17:40:03,880","   669250000"," ","47","  40,6","      999375","        8883"," 96,10",
"16/07/2025  17:40:03,880","   675250000"," ","48","  43,4","      999375","       57404"," 96,00",
"16/07/2025  17:40:03,880","   681250000"," ","49","  48,3","      999375","       86985"," 92,30",
"16/07/2025  17:40:03,880","   687250000"," ","50","  48,9","      999375","         637"," 96,50",
"16/07/2025  17:40:03,880","   693250000"," ","51","  57,0","      999375","        3582"," 97,60",
"16/07/2025  17:40:57,672","    55250000","CORPORACION ECUATORIANA DE","2","  92,7","      188125","           8"," 83,00",
"16/07/2025  17:40:57,672","    61250000"," ","3","  43,8","      805000","      -39619"," 94,90",
"16/07/2025  17:40:57,672","    67250000","UV TELEVISION","4","  93,2","      156875","         205"," 48,90",
"16/07/2025  17:40:57,672","    77250000","TELEAMAZONAS","5","  83,2","       63125","          13"," 43,30",
"16/07/2025  17:40:57,672","    83250000"," ","6","  69,6","      999375","        1299"," 94,80",
"16/07/2025  17:40:57,672","   175250000","ECUADOR TV","7","  94,8","      125625","         -17"," 54,00",
"16/07/2025  17:40:57,672","   181250000","CADENA ECUATORIANA DE TELE","8","  84,3","      867500","       15765"," 91,00",
"16/07/2025  17:40:57,672","   187250000","RED TELESISTEMA (R.T.S)","9","  89,5","      156875","        -483"," 41,00",
"16/07/2025  17:40:57,672","   193250000"," ","10","  73,9","      947500","       99029"," 98,50",
"16/07/2025  17:40:57,672","   199250000","TELEVISION DEL PACIFICO","11","  72,7","      990000","      118012"," 95,10",
"16/07/2025  17:40:57,672","   205250000"," ","12","  64,1","      999375","      119797"," 94,90",
"16/07/2025  17:40:57,672","   211250000"," ","13","  61,4","      999375","      102216"," 89,50",
"16/07/2025  17:40:57,672","   471250000"," ","14","  25,4","      999375","        1324"," 95,60",
"16/07/2025  17:40:57,672","   477250000"," ","15","  32,3","      999375","      -75126"," 74,10",
"16/07/2025  17:40:57,672","   483250000"," ","16","  26,9","      999375","      -72773"," 91,90",
"16/07/2025  17:40:57,672","   513250000"," ","21","  28,8","      999375","      -12954"," 96,40",
"16/07/2025  17:40:57,672","   519250000","ECOTEL","22","  84,4","       62500","        1114"," 33,20",
"16/07/2025  17:40:57,672","   525250000"," ","23","  28,0","      999375","      -33090"," 95,60",
"16/07/2025  17:40:57,672","   531250000","TELERAMA","24","  28,1","      999375","        2118"," 96,80",
"16/07/2025  17:40:57,672","   537250000","PLUS TV","25","  70,0","       62500","        4028"," 31,60",
"16/07/2025  17:40:57,672","   543250000","CANAL UNO","26","  30,2","      999375","        4531"," 96,40",
"16/07/2025  17:40:57,672","   549250000"," ","27","  27,5","      999375","        4034"," 97,00",
"16/07/2025  17:40:57,672","   555250000"," ","28","  44,7","      999375","        2735"," 93,40",
"16/07/2025  17:40:57,672","   561250000"," ","29","  41,7","      999375","       -3515"," 94,30",
"16/07/2025  17:40:57,672","   567250000","TELEATAHUALPA (RTU)","30","  40,8","      999375","      -10270"," 94,00",
"16/07/2025  17:40:57,672","   573250000"," ","31","  37,3","      999375","        -731"," 95,40",
"16/07/2025  17:40:57,672","   579250000","TELEVICENTRO TVC","32","  81,7","      156875","        1067"," 53,40",
"16/07/2025  17:40:57,672","   585250000"," ","33","  35,4","      999375","        3204"," 96,30",
"16/07/2025  17:40:57,672","   591250000","UCSG TELEVISION","34","  30,8","      999375","        5930"," 95,80",
"16/07/2025  17:40:57,672","   603250000","OROMAR","36","  32,6","      999375","        -640"," 94,30",
"16/07/2025  17:40:57,672","   615250000"," ","38","  39,6","      999375","       98885"," 93,50",
"16/07/2025  17:40:57,672","   621250000","CANAL SUR - TELEVISION MUN","39","  71,2","      503125","          56"," 74,50",
"16/07/2025  17:40:57,672","   627250000"," ","40","  34,0","      999375","        1669"," 96,20",
"16/07/2025  17:40:57,672","   633250000"," ","41","  37,4","      999375","       39164"," 95,40",
"16/07/2025  17:40:57,672","   639250000"," ","42","  39,5","      999375","       75178"," 88,70",
"16/07/2025  17:40:57,672","   645250000"," ","43","  35,8","      999375","        5789"," 96,10",
"16/07/2025  17:40:57,672","   651250000"," ","44","  38,2","      999375","       -1476"," 95,80",
"16/07/2025  17:40:57,672","   657250000"," ","45","  37,4","      999375","         461"," 96,90",
"16/07/2025  17:40:57,672","   663250000"," ","46","  37,0","      999375","        7597"," 94,00",
